company_id,name,registered_address_1,registered_address_2,registered_address_suite,registered_address_city,registered_address_country_id,country_registered,registered_address_zipcode,telephone_no,alternate_tele_no,fax_no,billing_address_1,billing_address_2,billing_address_suite,billing_address_city,billing_address_country_id,billing_address_zipcode,billing_telephone_number,billing_alt_telephone_no,logo_url,web_adr,overview,registration_date,active_untill_date,company_state,subscription_package,remaining_job_credit,total_user_subscription,registered_address_state,billing_address_state,contact_person_id,billing_phone_type_id,billing_alt_phone_type_id,phone_type_id,company_admin,alt_phone_type_id,email_id,sector_id,sectorname,industry_id,industryname,company_size_id,companysize,telephone_no_code,telephone_code,alternate_tele_no_code,billing_telephone_number_code,billing_alt_telephone_no_code,doc_url,is_public
1025,Chiru test company,1282,,,Bangalore,100,country.india,560102,7022602997,,,1282,,,Bangalore,100,560102,7022602997,,1025_photo.jpg,,,22:06.6,22:06.6,1,,,,KA,KA,7754,1,2,1,chiranjeevi.talari@thinkcoretech.com,2,chiru123@gmail.com,7,Information Technology,54,Software,1,"Micro < 10 employees
",100,91,100,100,100,,f
1024,BDEAC RGE,"Malabo II, Minist̬re du Commerce et des PME",,4eme etage,Malabo,66,country.equatorial.guinea,,222116556,,,"Malabo II, Minist̬re du Commerce et des PME",,4eme etage,Malabo,66,,222116556,,1024_photo.jpg,'www.bdeac.org,,15:39.3,15:39.3,1,,,,Malabo ,Malabo ,9118,1,1,1,nadegebongs@gmail.com,1,Rgeq@bdeac.org ,4,Financials,21,Banks,3,"Medium 101 - 999 employees
",66,240,74,66,74,,t
1026,1IGS,1IGS,,,Malabo,66,country.equatorial.guinea,,222730396,222744200,,1IGS,,,Malabo,66,,222730396,222744200,1026_photo.jpg,,,03:35.6,03:35.6,1,,,,Bioko Norte,Bioko Norte,9129,3,1,3,modestiyah@hotmail.com,1,tonnysindy@gmail.com,3,Energy,20,"Oil, Gas & Consumable Fuels",2,"Small 11 - 100 employees
",66,240,66,66,66,,t
1027,CANAL SOL,BARRIO PARAISO,,,MALABO,66,country.equatorial.guinea,,333095972,,,BARRIO PARAISO,,,MALABO,66,,333095972,,1027_photo.jpg,,,12:32.1,12:32.1,1,,,,BIOKO NORTE,BIOKO NORTE,9141,3,2,3,silvia.nguema@canalsol.com,2,info@canalsol.com,9,Telecommunication Services,61,Diversified Telecommunication Services,2,"Small 11 - 100 employees
",66,240,233,66,233,,t
1028,CANAL SOL SA,BARRIO PARAISO,,,MALABO ,66,country.equatorial.guinea,,333095971,,,BARRIO PARAISO,,,MALABO ,66,,333095971,,1028_photo.jpg,,,38:20.0,9/25/2019 0:00,1,,,,BIOKO NORTE ,BIOKO NORTE ,9143,3,2,3,adolfo.cucufate@canalsol.com,2,info@canalsol.com,9,Telecommunication Services,61,Diversified Telecommunication Services,2,"Small 11 - 100 employees
",66,240,233,233,233,,t
1029,Multiservicios Hebaksa SL,Barrio Bicatana bloque 4,,,Malabo,66,country.equatorial.guinea,,222013642,222728830,,Barrio Bicatana bloque 4,,,Malabo,66,,222013642,222728830,1029_photo.jpg,,,34:33.7,34:33.7,1,,,,Bioko Norte,Bioko Norte,9151,1,1,1,raquelasogo2@hotmail.es,1,hebaksasl@gmail.com,6,Industrials,45,Professional Services,1,"Micro < 10 employees
",66,240,66,66,66,,t
1030,Harvard Marine Petroleum Training Institute,"Carretera De Colegio Maria Cano, ",,,Sampaka,66,country.equatorial.guinea,,222006402,222299146,,"Carretera De Colegio Maria Cano, ",,,Sampaka,66,,222006402,222299146,1030_photo.jpg,www.harvardmarineusa.org,,22:25.5,22:25.5,1,,,,Bioko Norte,Bioko Norte,9186,3,1,3,derick.akana@harvardmpti.com,1,info@harvardmpti.com,6,Industrials,45,Professional Services,1,"Micro < 10 employees
",66,240,66,66,66,Flyer Finalll20181004051957.doc,t
1032,MADIN SL,"Pizza Place Paraiso, Primera Planta",,Primera Planta ,Malabo,66,country.equatorial.guinea,,222748488,555748488,,"Pizza Place Paraiso, Primera Planta",,Primera Planta ,Malabo,66,,222748488,555748488,1032_photo.jpg,www.madinsl.com,,24:55.8,24:55.8,1,,,,Bioko Norte,Bioko Norte,9200,3,1,3,cristian.nguema@madinsl.com,1,info@madinsl.com,6,Industrials,39,Commercial Services & Supplies,2,"Small 11 - 100 employees
",66,240,66,66,66,,t
1031,Welding and fabrication services,K5 carretera de aeropuerto,,,Malabo,66,country.equatorial.guinea,,222182627,222272657,,K5 carretera de aeropuerto,,,Malabo,66,,222182627,222272657,1031_photo.jpg,weldingfabric.com,,32:17.9,32:17.9,1,,,,Bioko norte,Bioko norte,9189,1,3,1,rociocollins88@gmail.com,3,gerardcollins67@yahoo.com,8,Materials,59,Metals  & Mining,1,"Micro < 10 employees
",66,240,66,66,66,,t
1033,OPTUIM GE SL,COMPLEJO CARMEN GALAXY,,,MALABO,66,country.equatorial.guinea,,555535701,555535701,,COMPLEJO CARMEN GALAXY,,,MALABO,66,,555535701,555535701,1033_photo.jpg,www.wadropmedics.com,,27:51.0,27:51.0,1,,,,BIOKO NORTE,BIOKO NORTE,9209,1,3,1,jcnsue@wadrop-medics.com,3,j.nsue.a@gmail.com,1,Consumer Discretionary,3,Distributors,1,"Micro < 10 employees
",66,240,66,66,66,,t
